mode: set
macedon/http_handler.go:24.62,25.27 1 0
macedon/conf.go:83.2,84.16 2 1
macedon/conf.go:89.2,91.16 3 1
macedon/conf.go:95.2,96.16 2 1
macedon/conf.go:100.2,101.16 2 1
macedon/conf.go:105.2,106.16 2 1
macedon/conf.go:110.2,111.16 2 1
macedon/conf.go:115.2,116.16 2 1
macedon/conf.go:120.2,121.16 2 1
macedon/conf.go:125.2,125.18 1 1
macedon/conf.go:36.16,38.3 1 0
macedon/conf.go:41.16,44.3 2 0
macedon/conf.go:47.16,50.3 2 0
macedon/conf.go:52.16,55.3 2 0
macedon/conf.go:58.16,61.3 2 0
macedon/conf.go:63.16,66.3 2 0
macedon/conf.go:69.16,72.3 2 0
macedon/conf.go:74.16,77.3 2 0
macedon/conf.go:79.16,82.3 2 0
macedon/conf.go:84.16,87.3 2 0
macedon/conf.go:91.16,94.3 2 0
macedon/conf.go:96.16,99.3 2 0
macedon/conf.go:101.16,104.3 2 0
macedon/conf.go:106.16,109.3 2 0
macedon/conf.go:111.16,114.3 2 0
macedon/conf.go:116.16,119.3 2 0
macedon/conf.go:121.16,124.3 2 0
macedon/consul.go:25.106,29.29 3 1
macedon/consul.go:35.2,45.16 9 1
macedon/consul.go:29.29,30.35 1 1
macedon/consul.go:30.35,32.4 1 1
macedon/consul.go:48.45,53.2 2 1
macedon/consul.go:55.97,58.28 2 1
macedon/consul.go:63.2,70.16 6 1
macedon/consul.go:74.2,78.12 3 1
macedon/consul.go:93.2,93.16 1 1
macedon/consul.go:98.2,100.32 2 1
macedon/consul.go:105.2,105.16 1 1
macedon/consul.go:124.2,124.17 1 1
macedon/consul.go:58.28,61.3 2 0
macedon/consul.go:70.16,73.3 2 0
macedon/consul.go:79.2,81.8 2 1
macedon/consul.go:82.2,84.8 2 1
macedon/consul.go:85.2,87.8 2 1
macedon/consul.go:88.2,90.34 2 0
macedon/consul.go:93.16,96.3 2 1
macedon/consul.go:100.32,103.3 2 0
macedon/consul.go:105.16,107.17 2 1
macedon/consul.go:111.3,111.27 1 1
macedon/consul.go:115.3,117.17 3 1
macedon/consul.go:121.3,121.20 1 1
macedon/consul.go:107.17,110.4 2 0
macedon/consul.go:111.27,114.4 2 0
macedon/consul.go:117.17,120.4 2 0
macedon/consul.go:127.67,131.2 3 1
macedon/consul.go:133.69,135.16 2 1
macedon/consul.go:139.2,140.16 2 1
macedon/consul.go:144.2,144.22 1 1
macedon/consul.go:148.2,148.30 1 1
macedon/consul.go:165.2,165.12 1 1
macedon/consul.go:169.2,169.12 1 1
macedon/consul.go:135.16,137.3 1 1
macedon/consul.go:140.16,143.3 2 1
macedon/consul.go:144.22,147.3 2 1
macedon/consul.go:148.30,149.17 1 1
macedon/consul.go:149.17,150.52 1 1
macedon/consul.go:150.52,153.19 3 1
macedon/consul.go:153.19,155.6 1 0
macedon/consul.go:157.4,159.18 2 0
macedon/consul.go:159.18,161.5 1 0
macedon/consul.go:165.12,168.3 2 0
macedon/consul.go:172.82,174.2 1 0
macedon/http_server.go:22.65,41.2 13 1
macedon/http_server.go:43.35,51.2 2 0
macedon/http_server.go:53.56,64.2 6 1
macedon/log.go:12.48,16.16 2 1
macedon/log.go:21.2,22.15 2 1
macedon/log.go:32.2,44.13 7 1
macedon/log.go:16.16,19.3 2 0
macedon/log.go:23.2,24.20 1 1
macedon/log.go:25.2,26.20 1 0
macedon/log.go:27.2,28.19 1 0
macedon/log.go:47.59,49.2 1 1
macedon/log.go:51.60,53.2 1 1
macedon/log.go:55.60,57.2 1 1
macedon/ssh.go:32.100,41.16 6 1
macedon/ssh.go:46.2,55.16 4 1
macedon/ssh.go:41.16,44.3 2 0
macedon/ssh.go:58.66,62.16 4 1
macedon/ssh.go:67.2,67.19 1 0
macedon/ssh.go:62.16,65.3 2 1
macedon/ssh.go:70.79,73.16 3 1
macedon/ssh.go:78.2,79.16 2 1
macedon/ssh.go:84.2,85.16 2 1
macedon/ssh.go:88.2,93.12 4 0
macedon/ssh.go:73.16,76.3 2 0
macedon/ssh.go:79.16,82.3 2 0
macedon/ssh.go:85.16,87.3 1 1
macedon/ssh.go:96.59,98.16 2 0
macedon/ssh.go:102.2,104.36 2 0
macedon/ssh.go:98.16,100.3 1 0
macedon/ssh.go:142.34,144.2 1 0
